crime_id,crime_type,date,time,day_of_week,month,hour,latitude,longitude,area,severity,suspect_age_group,suspect_gender,suspect_prior_record,weapon_used,arrest_made,risk_level
CR-01816,Theft,2024-07-05,19:15,Friday,7,19,13.036599,80.239578,T. Nagar,Low,18-25,Male,No,None,No,Low Risk
CR-01817,Drug Offense,2022-01-03,16:34,Monday,1,16,12.989659,80.221876,Velachery,Medium,36-45,Male,Yes,Knife,Yes,Medium Risk
CR-01818,Drug Offense,2023-07-06,04:43,Thursday,7,4,13.095059,80.248374,Egmore,Medium,18-25,Male,Yes,None,Yes,Medium Risk
CR-01819,Vandalism,2024-08-24,22:36,Saturday,8,22,13.03427,80.161896,Porur,Low,18-25,Female,No,None,Yes,Low Risk
CR-01820,Assault,2024-01-04,09:38,Thursday,1,9,12.989365,80.218099,Velachery,High,26-35,Male,No,Blunt Object,No,Medium Risk
CR-01821,Vandalism,2024-08-25,12:15,Sunday,8,12,12.984812,80.216676,Velachery,Low,36-45,Male,No,None,No,Low Risk
CR-01822,Theft,2023-05-27,12:42,Saturday,5,12,13.017057,80.22542,Guindy,Low,36-45,Male,No,None,No,Low Risk
CR-01823,Assault,2021-03-05,19:27,Friday,3,19,12.997366,80.218276,Guindy,High,18-25,Male,No,None,Yes,Low Risk
CR-01824,Burglary,2023-12-13,06:42,Wednesday,12,6,12.99699,80.245322,Adyar,Medium,26-35,Male,No,None,Yes,Low Risk
CR-01825,Burglary,2021-05-27,06:53,Thursday,5,6,13.066192,80.266709,Egmore,Medium,26-35,Male,Yes,Blunt Object,Yes,Medium Risk
CR-01826,Assault,2021-01-08,10:22,Friday,1,10,13.035289,80.267561,Mylapore,High,26-35,Male,Yes,Knife,Yes,High Risk
CR-01827,Kidnapping,2023-07-09,20:25,Sunday,7,20,13.043081,80.228032,T. Nagar,High,26-35,Male,No,None,Yes,Medium Risk
CR-01828,Fraud,2023-01-05,13:11,Thursday,1,13,13.037733,80.246639,Mylapore,Medium,36-45,Female,Yes,Knife,Yes,High Risk
CR-01829,Assault,2023-05-20,06:38,Saturday,5,6,12.991448,80.220732,Guindy,High,46+,Male,Yes,Blunt Object,Yes,High Risk
CR-01830,Theft,2023-03-21,09:10,Tuesday,3,9,13.04242,80.142319,Porur,Low,26-35,Female,No,None,No,Low Risk
CR-01831,Robbery,2021-08-29,03:14,Sunday,8,3,13.081411,80.279445,Egmore,High,18-25,Female,Yes,Knife,No,High Risk
CR-01832,Theft,2021-06-23,18:40,Wednesday,6,18,12.978244,80.222858,Velachery,Low,36-45,Female,No,None,No,Low Risk
CR-01833,Assault,2024-08-14,12:51,Wednesday,8,12,12.994773,80.271144,Adyar,High,18-25,Male,No,Blunt Object,Yes,Medium Risk
CR-01834,Theft,2022-10-27,19:12,Thursday,10,19,13.04706,80.166945,Porur,Low,18-25,Male,No,None,Yes,Low Risk
CR-01835,Theft,2024-02-27,20:27,Tuesday,2,20,12.952713,80.13862,Chromepet,Low,18-25,Male,No,Knife,No,Medium Risk
CR-01836,Theft,2024-12-23,16:20,Monday,12,16,12.940592,80.086234,Tambaram,Low,36-45,Male,Yes,None,Yes,Low Risk
CR-01837,Burglary,2022-05-23,12:58,Monday,5,12,13.083335,80.209215,Anna Nagar,Medium,26-35,Male,Yes,None,Yes,Medium Risk
CR-01838,Robbery,2021-11-03,23:35,Wednesday,11,23,12.999406,80.21307,Guindy,High,26-35,Male,No,Knife,Yes,High Risk
CR-01839,Assault,2021-08-29,23:37,Sunday,8,23,13.013147,80.221319,Guindy,High,46+,Male,Yes,Blunt Object,No,High Risk
CR-01840,Theft,2023-05-01,23:22,Monday,5,23,13.076851,80.265231,Egmore,Low,26-35,Male,No,None,Yes,Low Risk
CR-01841,Burglary,2024-04-08,15:00,Monday,4,15,12.93054,80.090692,Tambaram,Medium,18-25,Male,Yes,Knife,Yes,High Risk
CR-01842,Kidnapping,2021-06-27,20:02,Sunday,6,20,12.951496,80.150899,Chromepet,High,26-35,Male,No,Firearm,No,High Risk
CR-01843,Drug Offense,2023-10-30,10:25,Monday,10,10,13.042099,80.233877,T. Nagar,Medium,36-45,Male,No,None,No,Low Risk
CR-01844,Assault,2024-02-08,19:15,Thursday,2,19,12.90208,80.228951,Sholinganallur,High,26-35,Male,No,Knife,Yes,Medium Risk
CR-01845,Cybercrime,2023-05-17,14:57,Wednesday,5,14,13.082924,80.25247,Egmore,Medium,18-25,Male,No,None,Yes,Low Risk
CR-01846,Theft,2021-02-17,07:46,Wednesday,2,7,13.080305,80.258681,Egmore,Low,26-35,Male,No,None,No,Low Risk
CR-01847,Drug Offense,2023-08-23,04:11,Wednesday,8,4,12.921647,80.106074,Tambaram,Medium,46+,Female,No,Knife,No,High Risk
CR-01848,Theft,2021-12-03,18:45,Friday,12,18,12.983132,80.212398,Velachery,Low,26-35,Male,No,None,Yes,Low Risk
CR-01849,Theft,2022-01-10,16:27,Monday,1,16,13.057108,80.268334,Egmore,Low,26-35,Male,Yes,None,Yes,Low Risk
CR-01850,Robbery,2022-11-25,23:42,Friday,11,23,13.047407,80.155809,Porur,High,18-25,Male,No,Blunt Object,No,High Risk
CR-01851,Assault,2021-06-26,22:49,Saturday,6,22,12.628146,80.1919,Mamallapuram,High,18-25,Male,No,None,Yes,Medium Risk
CR-01852,Drug Offense,2021-03-13,14:14,Saturday,3,14,12.625642,80.200195,Mamallapuram,Medium,46+,Female,No,None,No,Low Risk
CR-01853,Assault,2024-01-17,18:43,Wednesday,1,18,13.024216,80.268105,Mylapore,High,26-35,Female,No,Knife,Yes,High Risk
CR-01854,Assault,2023-10-04,23:22,Wednesday,10,23,12.987782,80.204024,Velachery,High,18-25,Male,No,Blunt Object,No,High Risk
CR-01855,Assault,2024-09-22,18:56,Sunday,9,18,13.010273,80.207851,Guindy,High,46+,Male,No,Knife,Yes,Medium Risk
CR-01856,Assault,2023-09-15,17:14,Friday,9,17,12.989076,80.25603,Adyar,High,46+,Female,Yes,None,No,Medium Risk
CR-01857,Assault,2022-09-05,18:28,Monday,9,18,13.037042,80.229781,T. Nagar,High,18-25,Male,No,None,Yes,Medium Risk
CR-01858,Theft,2021-03-22,09:25,Monday,3,9,13.068174,80.25932,Egmore,Low,36-45,Male,No,None,No,Low Risk
CR-01859,Burglary,2021-01-07,22:34,Thursday,1,22,12.923772,80.10381,Tambaram,Medium,26-35,Male,Yes,Blunt Object,Yes,High Risk
CR-01860,Theft,2024-05-08,20:36,Wednesday,5,20,13.03304,80.270164,Mylapore,Low,18-25,Female,Yes,None,No,Medium Risk
CR-01861,Burglary,2022-09-09,10:52,Friday,9,10,12.975806,80.22046,Velachery,Medium,26-35,Female,No,Blunt Object,Yes,Medium Risk
CR-01862,Kidnapping,2022-08-26,13:46,Friday,8,13,12.930484,80.108092,Tambaram,High,26-35,Male,Yes,Blunt Object,Yes,High Risk
CR-01863,Theft,2021-03-25,16:12,Thursday,3,16,12.997701,80.215126,Guindy,Low,18-25,Male,Yes,None,No,Low Risk
CR-01864,Theft,2022-07-03,21:18,Sunday,7,21,12.901216,80.220495,Sholinganallur,Low,18-25,Female,No,None,Yes,Low Risk
CR-01865,Fraud,2023-08-15,08:02,Tuesday,8,8,13.001681,80.255593,Adyar,Medium,46+,Male,No,None,No,Low Risk
CR-01866,Theft,2021-04-04,12:51,Sunday,4,12,13.032252,80.261615,Mylapore,Low,18-25,Male,Yes,Knife,Yes,Medium Risk
CR-01867,Burglary,2022-12-28,21:51,Wednesday,12,21,12.987064,80.224078,Velachery,Medium,46+,Female,No,Knife,No,Medium Risk
CR-01868,Assault,2021-09-20,18:37,Monday,9,18,13.094209,80.212447,Anna Nagar,High,46+,Male,Yes,None,Yes,Medium Risk
CR-01869,Theft,2022-04-17,15:47,Sunday,4,15,13.078875,80.203889,Anna Nagar,Low,46+,Male,No,None,No,Low Risk
CR-01870,Assault,2023-07-25,12:44,Tuesday,7,12,13.019941,80.206153,Guindy,High,18-25,Male,No,Firearm,Yes,Medium Risk
CR-01871,Drug Offense,2022-08-28,23:50,Sunday,8,23,13.04232,80.274395,Mylapore,Medium,18-25,Male,Yes,None,Yes,Medium Risk
CR-01872,Cybercrime,2022-10-31,14:09,Monday,10,14,12.899899,80.221637,Sholinganallur,Medium,18-25,Female,Yes,None,Yes,Low Risk
CR-01873,Burglary,2024-09-28,15:41,Saturday,9,15,13.013587,80.261289,Adyar,Medium,18-25,Male,Yes,Knife,No,Medium Risk
CR-01874,Theft,2022-11-10,20:18,Thursday,11,20,13.025646,80.220816,Guindy,Low,18-25,Male,Yes,None,No,Medium Risk
CR-01875,Fraud,2024-08-10,17:51,Saturday,8,17,13.076444,80.220755,Anna Nagar,Medium,36-45,Female,Yes,None,Yes,Medium Risk
CR-01876,Fraud,2021-01-21,20:52,Thursday,1,20,13.00362,80.219132,Guindy,Medium,18-25,Male,No,None,No,Low Risk
CR-01877,Robbery,2022-07-07,09:22,Thursday,7,9,12.947626,80.155576,Chromepet,High,36-45,Male,No,Firearm,No,Medium Risk
CR-01878,Burglary,2024-10-07,03:20,Monday,10,3,12.985566,80.231302,Velachery,Medium,36-45,Male,No,None,No,Medium Risk
CR-01879,Assault,2021-07-08,12:30,Thursday,7,12,13.02912,80.255753,Mylapore,High,26-35,Male,No,Firearm,Yes,High Risk
CR-01880,Kidnapping,2022-05-31,21:31,Tuesday,5,21,13.005345,80.217455,Guindy,High,26-35,Male,No,None,No,High Risk
CR-01881,Drug Offense,2021-06-24,23:55,Thursday,6,23,13.086433,80.199745,Anna Nagar,Medium,18-25,Male,No,None,Yes,Medium Risk
CR-01882,Drug Offense,2022-03-10,14:30,Thursday,3,14,13.081978,80.208162,Anna Nagar,Medium,18-25,Male,Yes,Knife,No,Medium Risk
CR-01883,Assault,2021-08-09,13:37,Monday,8,13,12.999651,80.253301,Adyar,High,36-45,Female,No,None,No,Medium Risk
CR-01884,Theft,2022-01-04,19:30,Tuesday,1,19,12.925473,80.084357,Tambaram,Low,26-35,Male,No,None,No,Low Risk
CR-01885,Theft,2021-08-17,19:21,Tuesday,8,19,13.025851,80.155959,Porur,Low,36-45,Male,No,None,No,Low Risk
CR-01886,Fraud,2021-01-15,20:07,Friday,1,20,13.001313,80.257023,Adyar,Medium,18-25,Male,No,None,No,Medium Risk
CR-01887,Assault,2023-08-06,17:05,Sunday,8,17,13.034328,80.147168,Porur,High,26-35,Male,Yes,Blunt Object,No,High Risk
CR-01888,Drug Offense,2024-09-23,20:51,Monday,9,20,12.924507,80.10274,Tambaram,Medium,26-35,Male,Yes,None,Yes,Medium Risk
CR-01889,Theft,2022-08-22,19:02,Monday,8,19,13.089424,80.204954,Anna Nagar,Low,18-25,Male,Yes,None,No,Low Risk
CR-01890,Burglary,2021-08-12,22:20,Thursday,8,22,13.028794,80.265337,Mylapore,Medium,18-25,Male,Yes,None,Yes,Medium Risk
CR-01891,Cybercrime,2023-02-13,22:01,Monday,2,22,12.948028,80.144329,Chromepet,Medium,26-35,Female,No,None,Yes,Medium Risk
CR-01892,Vandalism,2024-06-04,02:20,Tuesday,6,2,13.091375,80.206351,Anna Nagar,Low,18-25,Female,Yes,None,No,Medium Risk
CR-01893,Burglary,2021-09-12,19:41,Sunday,9,19,13.034853,80.267666,Mylapore,Medium,36-45,Male,No,None,No,Low Risk
CR-01894,Kidnapping,2024-07-05,10:11,Friday,7,10,13.008206,80.21609,Guindy,High,46+,Male,No,Blunt Object,Yes,Medium Risk
CR-01895,Burglary,2024-04-20,00:13,Saturday,4,0,12.922125,80.086563,Tambaram,Medium,36-45,Male,No,Knife,Yes,Medium Risk
CR-01896,Robbery,2022-10-26,12:47,Wednesday,10,12,13.017649,80.215044,Guindy,High,26-35,Male,No,Blunt Object,No,Medium Risk
CR-01897,Burglary,2023-12-12,10:46,Tuesday,12,10,13.087316,80.198713,Anna Nagar,Medium,26-35,Male,No,Blunt Object,No,Medium Risk
CR-01898,Theft,2021-04-01,03:57,Thursday,4,3,13.043964,80.234276,T. Nagar,Low,46+,Male,No,None,Yes,Low Risk
CR-01899,Robbery,2021-08-27,19:45,Friday,8,19,13.005905,80.227455,Guindy,High,18-25,Male,No,Knife,Yes,Medium Risk
CR-01900,Theft,2023-12-15,21:34,Friday,12,21,13.096577,80.21421,Anna Nagar,Low,26-35,Male,No,None,No,Medium Risk
CR-01901,Cybercrime,2021-10-24,21:12,Sunday,10,21,12.928839,80.119252,Tambaram,Medium,26-35,Male,No,None,No,Medium Risk
CR-01902,Drug Offense,2024-06-19,14:47,Wednesday,6,14,12.994847,80.272882,Adyar,Medium,26-35,Female,Yes,None,No,Medium Risk
CR-01903,Fraud,2024-08-21,07:41,Wednesday,8,7,12.99652,80.211852,Velachery,Medium,18-25,Female,No,None,Yes,Medium Risk
CR-01904,Fraud,2022-08-03,20:15,Wednesday,8,20,13.035676,80.234968,T. Nagar,Medium,26-35,Female,No,None,Yes,Medium Risk
CR-01905,Robbery,2024-06-04,14:49,Tuesday,6,14,12.633087,80.189313,Mamallapuram,High,18-25,Male,No,Knife,Yes,Medium Risk
CR-01906,Theft,2022-08-08,08:51,Monday,8,8,13.088572,80.20926,Anna Nagar,Low,18-25,Female,No,None,No,Low Risk
CR-01907,Burglary,2022-11-26,13:55,Saturday,11,13,12.99141,80.245943,Adyar,Medium,46+,Male,No,None,Yes,Low Risk
CR-01908,Theft,2023-12-02,18:43,Saturday,12,18,13.036346,80.173797,Porur,Low,46+,Female,Yes,None,Yes,Low Risk
CR-01909,Vandalism,2022-09-01,08:55,Thursday,9,8,12.949491,80.135469,Chromepet,Low,18-25,Female,No,None,No,Low Risk
CR-01910,Drug Offense,2021-11-13,03:27,Saturday,11,3,13.005553,80.215457,Guindy,Medium,18-25,Male,Yes,None,Yes,Medium Risk
CR-01911,Theft,2024-06-21,20:13,Friday,6,20,13.004267,80.270132,Adyar,Low,36-45,Female,No,None,No,Low Risk
CR-01912,Theft,2024-01-20,11:48,Saturday,1,11,12.920592,80.112121,Tambaram,Low,26-35,Male,Yes,None,Yes,Low Risk
CR-01913,Fraud,2023-06-25,23:21,Sunday,6,23,13.018978,80.279422,Mylapore,Medium,26-35,Female,No,None,No,Low Risk
CR-01914,Fraud,2023-05-08,11:51,Monday,5,11,13.09019,80.219732,Anna Nagar,Medium,36-45,Male,No,None,No,Low Risk
CR-01915,Vandalism,2024-09-26,06:21,Thursday,9,6,12.977381,80.233829,Velachery,Low,18-25,Male,No,Blunt Object,Yes,Low Risk
CR-01916,Vandalism,2023-02-26,11:41,Sunday,2,11,12.893246,80.234652,Sholinganallur,Low,26-35,Female,No,Knife,No,Low Risk
CR-01917,Fraud,2022-01-22,17:05,Saturday,1,17,13.037304,80.264598,Mylapore,Medium,26-35,Male,No,None,No,Low Risk
CR-01918,Robbery,2023-04-25,22:22,Tuesday,4,22,13.041043,80.264413,Mylapore,High,26-35,Male,No,Knife,No,High Risk
CR-01919,Homicide,2023-06-21,20:41,Wednesday,6,20,13.034924,80.156973,Porur,High,26-35,Male,No,Knife,No,High Risk
CR-01920,Theft,2024-12-25,10:38,Wednesday,12,10,12.992892,80.221589,Velachery,Low,36-45,Male,No,None,No,Low Risk
CR-01921,Theft,2023-03-10,20:10,Friday,3,20,13.046628,80.26188,Mylapore,Low,26-35,Male,Yes,None,Yes,Medium Risk
CR-01922,Theft,2024-12-27,08:02,Friday,12,8,12.947331,80.152357,Chromepet,Low,26-35,Female,No,None,Yes,Low Risk
CR-01923,Vandalism,2021-06-17,11:41,Thursday,6,11,12.947015,80.158564,Chromepet,Low,26-35,Female,No,Blunt Object,No,Low Risk
CR-01924,Theft,2024-11-30,18:06,Saturday,11,18,12.633559,80.184177,Mamallapuram,Low,36-45,Male,Yes,Knife,No,Medium Risk
CR-01925,Fraud,2024-04-12,09:44,Friday,4,9,12.986148,80.234817,Velachery,Medium,36-45,Male,No,None,No,Low Risk
CR-01926,Drug Offense,2021-04-30,21:08,Friday,4,21,12.996359,80.222558,Guindy,Medium,18-25,Male,No,None,Yes,Low Risk
CR-01927,Fraud,2024-01-16,18:17,Tuesday,1,18,12.626424,80.206187,Mamallapuram,Medium,18-25,Female,No,None,No,Medium Risk
CR-01928,Assault,2021-06-17,15:32,Thursday,6,15,13.016157,80.214383,Guindy,High,26-35,Male,No,None,No,Medium Risk
CR-01929,Vandalism,2023-12-19,01:27,Tuesday,12,1,13.093396,80.212371,Anna Nagar,Low,36-45,Male,Yes,None,No,Medium Risk
CR-01930,Assault,2023-10-05,20:56,Thursday,10,20,13.084612,80.267114,Egmore,High,26-35,Male,No,Blunt Object,No,High Risk
CR-01931,Fraud,2022-07-01,20:23,Friday,7,20,13.063052,80.258895,Egmore,Medium,46+,Female,No,None,No,Medium Risk
CR-01932,Vandalism,2022-11-14,19:36,Monday,11,19,13.080391,80.259272,Egmore,Low,26-35,Male,No,None,No,Low Risk
CR-01933,Vandalism,2021-05-20,21:20,Thursday,5,21,12.980206,80.213088,Velachery,Low,26-35,Male,No,None,No,Low Risk
CR-01934,Fraud,2022-06-07,17:07,Tuesday,6,17,12.988593,80.214104,Velachery,Medium,26-35,Male,No,None,Yes,Low Risk
CR-01935,Assault,2023-05-22,21:37,Monday,5,21,12.999803,80.248689,Adyar,High,18-25,Male,Yes,None,Yes,High Risk
CR-01936,Robbery,2021-02-28,15:41,Sunday,2,15,12.986755,80.216019,Velachery,High,18-25,Male,Yes,None,No,Medium Risk
CR-01937,Burglary,2024-05-05,13:18,Sunday,5,13,13.042689,80.22919,T. Nagar,Medium,18-25,Male,Yes,Firearm,No,Medium Risk
CR-01938,Robbery,2022-09-16,12:44,Friday,9,12,13.072153,80.262176,Egmore,High,36-45,Male,Yes,Blunt Object,Yes,High Risk
CR-01939,Theft,2022-05-20,23:10,Friday,5,23,13.043534,80.226256,T. Nagar,Low,26-35,Female,No,Blunt Object,No,Medium Risk
CR-01940,Fraud,2024-02-26,20:07,Monday,2,20,13.045962,80.211291,T. Nagar,Medium,18-25,Male,No,None,No,Medium Risk
CR-01941,Fraud,2024-04-16,09:47,Tuesday,4,9,12.945269,80.141217,Chromepet,Medium,26-35,Female,No,None,No,Low Risk
CR-01942,Robbery,2022-12-05,17:11,Monday,12,17,13.040113,80.260547,Mylapore,High,36-45,Male,No,Firearm,No,Medium Risk
CR-01943,Vandalism,2023-03-12,14:46,Sunday,3,14,13.079748,80.272064,Egmore,Low,26-35,Male,No,Blunt Object,Yes,Low Risk
CR-01944,Theft,2021-04-12,00:01,Monday,4,0,12.924769,80.097863,Tambaram,Low,26-35,Male,No,None,Yes,Low Risk
CR-01945,Drug Offense,2021-09-01,14:22,Wednesday,9,14,12.924891,80.095168,Tambaram,Medium,36-45,Male,No,None,No,Medium Risk
CR-01946,Fraud,2022-05-16,10:04,Monday,5,10,13.074757,80.260775,Egmore,Medium,26-35,Male,Yes,None,No,Medium Risk
CR-01947,Assault,2024-01-09,09:35,Tuesday,1,9,13.035241,80.228942,T. Nagar,High,18-25,Male,No,Blunt Object,No,Medium Risk
CR-01948,Burglary,2023-03-01,21:11,Wednesday,3,21,13.027239,80.268028,Mylapore,Medium,36-45,Male,No,None,No,Medium Risk
CR-01949,Robbery,2022-08-30,18:13,Tuesday,8,18,13.041026,80.231997,T. Nagar,High,26-35,Male,No,Blunt Object,Yes,Medium Risk
CR-01950,Burglary,2022-03-29,19:44,Tuesday,3,19,13.04618,80.159597,Porur,Medium,36-45,Male,No,None,No,Low Risk
CR-01951,Assault,2023-11-06,12:40,Monday,11,12,13.004559,80.206414,Guindy,High,46+,Male,Yes,Knife,Yes,High Risk
CR-01952,Robbery,2022-09-04,12:24,Sunday,9,12,12.9386,80.127611,Chromepet,High,26-35,Female,Yes,Firearm,Yes,High Risk
CR-01953,Fraud,2021-04-22,18:48,Thursday,4,18,12.999335,80.245757,Adyar,Medium,18-25,Male,Yes,None,Yes,Medium Risk
CR-01954,Robbery,2024-01-03,22:13,Wednesday,1,22,12.955683,80.148694,Chromepet,High,18-25,Male,No,Blunt Object,Yes,High Risk
CR-01955,Theft,2022-06-30,17:18,Thursday,6,17,12.995922,80.254582,Adyar,Low,36-45,Female,No,Knife,No,Low Risk
CR-01956,Assault,2024-02-29,18:14,Thursday,2,18,13.004099,80.218474,Guindy,High,36-45,Male,Yes,Knife,Yes,High Risk
CR-01957,Robbery,2021-01-03,18:43,Sunday,1,18,13.043431,80.240523,T. Nagar,High,26-35,Male,No,Knife,No,Medium Risk
CR-01958,Theft,2021-03-07,07:09,Sunday,3,7,12.932738,80.109251,Tambaram,Low,46+,Male,No,None,No,Low Risk
CR-01959,Burglary,2024-01-16,15:25,Tuesday,1,15,12.973972,80.223009,Velachery,Medium,18-25,Male,No,None,No,Low Risk
CR-01960,Theft,2023-12-16,15:35,Saturday,12,15,13.048851,80.237836,T. Nagar,Low,36-45,Female,No,None,No,Low Risk
CR-01961,Drug Offense,2024-06-05,08:41,Wednesday,6,8,13.002427,80.210721,Guindy,Medium,46+,Female,No,None,Yes,Low Risk
CR-01962,Fraud,2024-08-19,23:52,Monday,8,23,13.085946,80.257803,Egmore,Medium,46+,Male,No,None,No,Low Risk
CR-01963,Theft,2022-08-27,11:41,Saturday,8,11,13.043293,80.243002,T. Nagar,Low,26-35,Male,Yes,None,Yes,Low Risk
CR-01964,Vandalism,2021-04-27,11:05,Tuesday,4,11,12.932876,80.095963,Tambaram,Low,26-35,Female,No,Blunt Object,No,Low Risk
CR-01965,Kidnapping,2024-03-29,07:55,Friday,3,7,13.004028,80.258016,Adyar,High,46+,Male,Yes,Firearm,Yes,High Risk
CR-01966,Burglary,2022-06-21,17:11,Tuesday,6,17,13.082311,80.209145,Anna Nagar,Medium,26-35,Male,Yes,Blunt Object,Yes,Medium Risk
CR-01967,Drug Offense,2021-07-01,14:41,Thursday,7,14,12.945957,80.161951,Chromepet,Medium,26-35,Male,No,None,Yes,Low Risk
CR-01968,Burglary,2022-12-08,18:27,Thursday,12,18,12.938476,80.143577,Chromepet,Medium,36-45,Male,No,None,Yes,Low Risk
CR-01969,Robbery,2023-10-29,22:51,Sunday,10,22,12.91921,80.119486,Tambaram,High,46+,Male,No,Knife,Yes,High Risk
CR-01970,Theft,2022-04-06,21:27,Wednesday,4,21,13.076788,80.247627,Egmore,Low,26-35,Female,No,None,No,Low Risk
CR-01971,Theft,2022-02-20,21:44,Sunday,2,21,12.940103,80.135991,Chromepet,Low,46+,Female,No,None,No,Low Risk
CR-01972,Vandalism,2024-06-02,21:34,Sunday,6,21,13.025769,80.231991,Guindy,Low,26-35,Male,No,Blunt Object,Yes,Medium Risk
CR-01973,Kidnapping,2024-06-24,18:43,Monday,6,18,13.007416,80.218082,Guindy,High,18-25,Male,No,Blunt Object,Yes,Medium Risk
CR-01974,Burglary,2022-11-04,23:24,Friday,11,23,13.04212,80.218497,T. Nagar,Medium,18-25,Female,No,None,No,Medium Risk
CR-01975,Drug Offense,2024-11-07,04:52,Thursday,11,4,13.000812,80.249049,Adyar,Medium,26-35,Male,Yes,Firearm,Yes,High Risk
CR-01976,Cybercrime,2022-03-29,21:58,Tuesday,3,21,13.05311,80.247254,T. Nagar,Medium,18-25,Male,Yes,None,No,Medium Risk
CR-01977,Theft,2023-06-15,22:10,Thursday,6,22,12.633007,80.193247,Mamallapuram,Low,18-25,Female,No,None,No,Low Risk
CR-01978,Burglary,2024-12-19,22:04,Thursday,12,22,12.944434,80.152252,Chromepet,Medium,18-25,Male,Yes,Blunt Object,Yes,High Risk
CR-01979,Robbery,2023-11-17,09:07,Friday,11,9,12.965724,80.144223,Chromepet,High,26-35,Female,No,Blunt Object,Yes,Medium Risk
CR-01980,Fraud,2021-12-13,07:40,Monday,12,7,13.001396,80.21589,Guindy,Medium,26-35,Male,Yes,None,No,Medium Risk
CR-01981,Burglary,2022-01-24,11:20,Monday,1,11,12.924784,80.097679,Tambaram,Medium,36-45,Male,Yes,None,Yes,Medium Risk
CR-01982,Robbery,2023-05-05,06:28,Friday,5,6,12.614044,80.19024,Mamallapuram,High,36-45,Male,No,Knife,Yes,Medium Risk
CR-01983,Assault,2022-01-05,20:23,Wednesday,1,20,12.991732,80.249366,Adyar,High,36-45,Female,No,Knife,No,High Risk
CR-01984,Fraud,2023-09-05,20:59,Tuesday,9,20,13.078243,80.208605,Anna Nagar,Medium,26-35,Male,Yes,None,Yes,Medium Risk
CR-01985,Cybercrime,2024-04-29,11:06,Monday,4,11,13.086695,80.214296,Anna Nagar,Medium,18-25,Male,No,None,Yes,Low Risk
CR-01986,Robbery,2022-10-19,04:46,Wednesday,10,4,13.087713,80.202175,Anna Nagar,High,26-35,Male,No,Knife,Yes,High Risk
CR-01987,Assault,2024-06-20,21:53,Thursday,6,21,13.004016,80.204346,Guindy,High,18-25,Male,No,None,No,Medium Risk
CR-01988,Burglary,2023-09-03,00:11,Sunday,9,0,13.062888,80.264614,Egmore,Medium,36-45,Male,Yes,None,No,Medium Risk
CR-01989,Burglary,2022-05-12,07:34,Thursday,5,7,13.09268,80.212498,Anna Nagar,Medium,36-45,Female,Yes,None,No,Medium Risk
CR-01990,Robbery,2024-07-26,20:58,Friday,7,20,13.08526,80.202408,Anna Nagar,High,18-25,Male,No,None,No,Medium Risk
CR-01991,Theft,2023-03-24,01:39,Friday,3,1,12.958492,80.212172,Velachery,Low,36-45,Male,No,None,No,Low Risk
CR-01992,Assault,2022-09-19,19:20,Monday,9,19,12.992684,80.261773,Adyar,High,18-25,Male,No,None,No,Medium Risk
CR-01993,Robbery,2023-09-14,09:37,Thursday,9,9,12.997863,80.215154,Guindy,High,36-45,Male,No,Knife,No,Medium Risk
CR-01994,Homicide,2021-10-11,20:59,Monday,10,20,12.962619,80.149227,Chromepet,High,26-35,Male,No,Knife,No,High Risk
CR-01995,Fraud,2022-02-01,19:13,Tuesday,2,19,12.939679,80.140967,Chromepet,Medium,26-35,Male,No,None,No,Low Risk
CR-01996,Theft,2024-10-17,17:52,Thursday,10,17,13.005642,80.223639,Guindy,Low,46+,Female,No,None,No,Low Risk
CR-01997,Vandalism,2023-07-13,12:40,Thursday,7,12,12.923397,80.098612,Tambaram,Low,36-45,Male,No,None,No,Low Risk
CR-01998,Kidnapping,2023-01-19,10:18,Thursday,1,10,12.636637,80.180522,Mamallapuram,High,18-25,Male,No,Knife,No,Medium Risk
CR-01999,Theft,2024-03-29,21:41,Friday,3,21,12.915701,80.088063,Tambaram,Low,46+,Male,No,None,No,Low Risk
CR-02000,Homicide,2022-11-15,19:41,Tuesday,11,19,12.968606,80.220885,Velachery,High,36-45,Female,Yes,None,No,Medium Risk
CR-02001,Theft,2021-09-09,15:52,Thursday,9,15,13.08544,80.263845,Egmore,Low,18-25,Male,No,None,No,Low Risk
CR-02002,Vandalism,2024-06-10,09:59,Monday,6,9,12.993117,80.261949,Adyar,Low,26-35,Male,No,Blunt Object,No,Low Risk
CR-02003,Theft,2022-06-07,14:12,Tuesday,6,14,13.043296,80.226016,T. Nagar,Low,18-25,Male,Yes,None,Yes,Low Risk
CR-02004,Theft,2023-02-12,11:55,Sunday,2,11,13.026523,80.227777,T. Nagar,Low,36-45,Male,Yes,None,No,Low Risk
CR-02005,Assault,2021-05-06,13:20,Thursday,5,13,13.081341,80.199695,Anna Nagar,High,18-25,Male,No,Blunt Object,Yes,Medium Risk
CR-02006,Theft,2023-01-12,13:30,Thursday,1,13,13.045742,80.225231,T. Nagar,Low,18-25,Male,Yes,None,Yes,Low Risk
CR-02007,Theft,2024-10-18,08:57,Friday,10,8,12.999212,80.264341,Adyar,Low,18-25,Male,No,None,No,Low Risk
CR-02008,Burglary,2024-02-17,17:08,Saturday,2,17,13.071454,80.256803,Egmore,Medium,18-25,Male,Yes,None,Yes,Medium Risk
